,suite,fid,iid
0,cec2013,25,1
1,all,2,1
2,all,43,1
3,bbob,21,2
4,all,10,1
5,bbob,1,4
6,all,16,1
7,all,61,1
8,all,77,1
9,all,45,1
10,all,96,1
11,all,87,1
12,bbob,23,2
13,all,27,1
14,all,90,1
15,bbob,3,2
16,bbob,18,5
17,bbob,22,3
18,all,94,1
19,bbob,19,4
20,all,47,1
21,all,80,1
22,bbob,17,5
23,all,91,1
24,all,49,1
25,bbob,16,5
26,all,100,1
27,all,3,1
28,bbob,1,3
29,all,22,1
30,all,40,1
31,all,59,1
32,all,20,1
33,bbob,17,2
34,bbob,19,1
35,all,69,1
36,all,84,1
37,all,15,1
38,all,35,1
39,all,75,1
40,all,14,1
41,all,37,1
42,bbob,17,1
43,all,34,1
44,all,104,1
45,bbob,14,2
46,all,103,1
47,all,39,1
48,all,38,1
49,all,99,1
50,bbob,23,5
51,all,114,1
52,all,95,1
