,suite,fid,iid
0,bbob,20,2
1,cec2013,8,1
2,bbob,1,1
3,all,3,1
4,bbob,18,5
5,all,34,1
6,all,20,1
7,all,47,1
8,all,24,1
9,all,68,1
10,all,100,1
11,all,77,1
12,all,90,1
13,all,49,1
14,all,80,1
15,all,115,1
16,bbob,17,4
17,all,66,1
18,all,92,1
19,all,29,1
20,all,43,1
21,all,35,1
22,all,14,1
23,bbob,23,5
24,all,2,1
25,all,38,1
26,all,37,1
27,bbob,14,1
28,all,94,1
29,all,96,1
30,all,39,1
31,all,22,1
32,bbob,17,5
33,all,53,1
34,all,114,1
35,bbob,19,4
36,all,15,1
37,bbob,23,1
38,all,99,1
39,bbob,1,4
40,bbob,17,2
41,bbob,19,1
42,all,103,1
43,all,84,1
44,all,75,1
45,all,45,1
46,bbob,22,3
47,all,104,1
48,bbob,14,2
49,bbob,23,2
50,bbob,1,3
