,suite,fid,iid
0,cec2017,28,1
1,all,15,1
2,bbob,23,5
3,all,83,1
4,all,47,1
5,all,38,1
6,all,75,1
7,all,48,1
8,bbob,17,2
9,all,66,1
10,all,84,1
11,bbob,19,4
12,all,14,1
13,all,18,1
14,all,2,1
15,all,35,1
16,all,43,1
17,bbob,17,1
18,bbob,23,3
19,all,104,1
20,all,68,1
21,all,34,1
22,bbob,23,1
23,all,1,1
24,all,10,1
25,bbob,1,1
26,all,40,1
27,all,21,1
28,all,39,1
29,all,90,1
30,bbob,23,2
31,all,5,1
32,bbob,14,2
33,bbob,1,4
34,all,103,1
35,bbob,21,4
36,all,22,1
37,all,37,1
38,all,80,1
39,bbob,18,5
40,bbob,22,3
41,all,24,1
42,bbob,17,5
43,all,45,1
44,all,114,1
45,bbob,19,1
46,all,77,1
47,bbob,12,3
48,all,49,1
49,all,3,1
50,all,99,1
51,all,20,1
