,suite,fid,iid
0,bbob,22,5
1,all,10,1
2,bbob,8,1
3,bbob,19,1
4,bbob,17,2
5,all,34,1
6,all,37,1
7,bbob,23,1
8,all,110,1
9,all,90,1
10,bbob,18,5
11,all,69,1
12,bbob,1,4
13,all,96,1
14,all,31,1
15,all,22,1
16,all,14,1
17,bbob,14,2
18,all,103,1
19,bbob,21,3
20,all,5,1
21,bbob,17,4
22,bbob,17,5
23,bbob,19,4
24,bbob,22,3
25,all,114,1
26,all,39,1
27,all,116,1
28,bbob,23,2
29,all,43,1
30,all,24,1
31,all,53,1
32,bbob,1,3
33,all,49,1
34,all,47,1
35,all,2,1
36,all,48,1
37,all,35,1
38,bbob,14,1
39,all,102,1
40,all,87,1
41,all,84,1
42,all,15,1
43,all,99,1
44,all,45,1
45,all,104,1
46,all,40,1
47,all,77,1
48,all,80,1
49,bbob,23,5
