,suite,fid,iid
0,all,44,1
1,all,109,1
2,all,27,1
3,all,104,1
4,all,80,1
5,all,31,1
6,all,30,1
7,bbob,1,1
8,bbob,19,4
9,bbob,21,4
10,all,39,1
11,all,61,1
12,all,115,1
13,all,40,1
14,all,48,1
15,bbob,18,5
16,bbob,23,1
17,bbob,17,1
18,all,15,1
19,all,77,1
20,bbob,17,2
21,all,100,1
22,bbob,1,3
23,all,59,1
24,all,47,1
25,all,14,1
26,all,87,1
27,all,96,1
28,all,107,1
29,bbob,23,5
30,all,49,1
31,all,84,1
32,all,114,1
33,all,20,1
34,bbob,19,1
35,all,45,1
36,all,43,1
37,bbob,17,5
38,bbob,14,2
39,bbob,23,2
40,all,2,1
41,all,38,1
42,all,99,1
43,all,103,1
44,all,22,1
45,all,37,1
46,all,35,1
47,all,24,1
48,bbob,22,3
49,bbob,1,4
