,suite,fid,iid
0,cec2014,20,1
1,all,61,1
2,bbob,19,1
3,all,11,1
4,bbob,14,1
5,all,116,1
6,all,4,1
7,bbob,23,1
8,all,49,1
9,all,69,1
10,bbob,23,2
11,all,24,1
12,all,47,1
13,bbob,19,4
14,all,48,1
15,all,3,1
16,bbob,1,1
17,bbob,23,5
18,bbob,21,4
19,bbob,1,4
20,bbob,23,3
21,all,35,1
22,all,80,1
23,all,105,1
24,all,5,1
25,all,77,1
26,all,84,1
27,all,90,1
28,all,99,1
29,all,39,1
30,all,87,1
31,all,104,1
32,all,22,1
33,bbob,14,2
34,all,59,1
35,all,2,1
36,bbob,22,3
37,bbob,17,5
38,all,40,1
39,all,114,1
40,all,14,1
41,all,1,1
42,all,75,1
43,all,43,1
44,bbob,18,5
45,all,34,1
46,all,103,1
47,all,37,1
48,all,45,1
49,bbob,17,2
50,all,15,1
