,suite,fid,iid
0,bbob,12,3
1,all,91,1
2,all,51,1
3,all,48,1
4,bbob,19,2
5,all,104,1
6,all,24,1
7,all,40,1
8,all,49,1
9,bbob,1,4
10,all,22,1
11,all,93,1
12,all,45,1
13,cec2013,8,1
14,all,19,1
15,all,17,1
16,bbob,19,4
17,all,84,1
18,all,59,1
19,all,38,1
20,all,114,1
21,all,1,1
22,all,35,1
23,bbob,22,3
24,bbob,17,5
25,bbob,17,2
26,bbob,14,1
27,all,66,1
28,bbob,14,2
29,bbob,23,1
30,all,77,1
31,all,15,1
32,all,103,1
33,all,47,1
34,all,80,1
35,bbob,21,4
36,all,14,1
37,bbob,18,5
38,all,5,1
39,bbob,23,5
40,all,90,1
41,all,39,1
42,bbob,23,2
43,all,99,1
44,bbob,1,3
45,bbob,19,1
46,all,37,1
47,all,61,1
48,all,43,1
49,all,20,1
