,suite,fid,iid
0,all,80,1
1,all,104,1
2,bbob,16,1
3,all,11,1
4,all,69,1
5,all,109,1
6,all,21,1
7,all,48,1
8,bbob,22,3
9,bbob,19,1
10,bbob,21,2
11,all,115,1
12,all,79,1
13,all,43,1
14,all,35,1
15,bbob,1,3
16,bbob,12,4
17,all,1,1
18,all,5,1
19,all,34,1
20,all,49,1
21,all,84,1
22,all,87,1
23,all,114,1
24,bbob,23,1
25,bbob,14,2
26,bbob,19,4
27,all,103,1
28,all,90,1
29,all,24,1
30,all,39,1
31,bbob,17,2
32,bbob,23,2
33,bbob,23,5
34,all,40,1
35,all,45,1
36,all,116,1
37,bbob,17,5
38,all,15,1
39,all,47,1
40,bbob,1,4
41,all,37,1
42,cec2014,28,1
43,all,99,1
44,bbob,18,5
45,all,14,1
46,all,77,1
47,all,22,1
