,suite,fid,iid
0,bbob,21,1
1,bbob,7,4
2,all,80,1
3,all,102,1
4,all,45,1
5,bbob,22,3
6,bbob,14,1
7,all,66,1
8,all,1,1
9,all,37,1
10,all,11,1
11,all,15,1
12,all,17,1
13,bbob,23,2
14,all,69,1
15,all,99,1
16,bbob,14,2
17,all,16,1
18,all,38,1
19,all,104,1
20,all,49,1
21,all,40,1
22,all,31,1
23,all,20,1
24,all,39,1
25,all,53,1
26,all,109,1
27,all,94,1
28,all,35,1
29,bbob,19,4
30,bbob,1,3
31,all,25,1
32,all,114,1
33,bbob,17,2
34,all,2,1
35,all,47,1
36,all,90,1
37,bbob,19,1
38,bbob,17,5
39,all,84,1
40,all,100,1
41,bbob,1,4
42,all,77,1
43,bbob,23,5
44,bbob,18,5
45,all,103,1
46,all,43,1
47,all,22,1
48,all,34,1
49,all,14,1
