,suite,fid,iid
0,bbob,1,2
1,bbob,17,5
2,bbob,1,4
3,all,40,1
4,bbob,1,3
5,all,27,1
6,all,95,1
7,all,31,1
8,all,18,1
9,all,84,1
10,bbob,19,1
11,all,24,1
12,all,45,1
13,all,10,1
14,bbob,19,4
15,all,99,1
16,all,78,1
17,all,48,1
18,all,20,1
19,bbob,3,2
20,all,25,1
21,all,37,1
22,all,5,1
23,all,14,1
24,bbob,17,4
25,all,114,1
26,all,49,1
27,all,107,1
28,all,19,1
29,all,39,1
30,all,43,1
31,all,80,1
32,bbob,14,2
33,all,87,1
34,bbob,23,5
35,all,1,1
36,all,102,1
37,all,103,1
38,all,47,1
39,bbob,18,5
40,all,22,1
41,all,35,1
42,bbob,17,2
43,bbob,22,3
44,all,53,1
45,bbob,23,2
46,all,15,1
47,all,38,1
48,all,104,1
