,suite,fid,iid
0,bbob,17,4
1,bbob,12,1
2,all,27,1
3,all,29,1
4,bbob,17,5
5,all,115,1
6,all,2,1
7,cec2015,4,1
8,bbob,23,5
9,bbob,16,5
10,all,68,1
11,all,80,1
12,all,31,1
13,all,92,1
14,cec2014,28,1
15,all,47,1
16,all,116,1
17,all,45,1
18,all,37,1
19,all,53,1
20,bbob,14,4
21,all,16,1
22,all,94,1
23,all,34,1
24,all,114,1
25,bbob,1,4
26,all,87,1
27,all,90,1
28,bbob,1,3
29,bbob,18,5
30,bbob,19,1
31,bbob,22,3
32,all,22,1
33,all,5,1
34,bbob,17,2
35,all,77,1
36,all,104,1
37,all,84,1
38,bbob,14,1
39,all,103,1
40,all,95,1
41,all,14,1
42,all,43,1
43,bbob,23,2
44,bbob,19,4
45,all,35,1
46,all,99,1
47,bbob,14,2
48,all,15,1
49,all,49,1
50,all,39,1
