,suite,fid,iid
0,cec2017,13,1
1,bbob,23,2
2,all,15,1
3,bbob,16,2
4,all,29,1
5,all,37,1
6,bbob,14,2
7,all,77,1
8,bbob,18,5
9,all,2,1
10,bbob,19,1
11,bbob,23,1
12,all,39,1
13,all,47,1
14,all,90,1
15,bbob,14,4
16,bbob,1,3
17,all,38,1
18,all,24,1
19,all,17,1
20,all,100,1
21,all,66,1
22,all,95,1
23,all,4,1
24,all,104,1
25,all,53,1
26,bbob,23,5
27,all,103,1
28,all,20,1
29,all,75,1
30,bbob,17,2
31,bbob,21,4
32,all,3,1
33,all,99,1
34,all,35,1
35,all,45,1
36,all,94,1
37,bbob,17,5
38,all,84,1
39,bbob,22,3
40,all,34,1
41,all,49,1
42,all,69,1
43,bbob,19,4
44,all,43,1
45,all,14,1
46,all,96,1
47,bbob,14,1
48,bbob,1,4
49,all,80,1
50,all,22,1
51,all,114,1
