,suite,fid,iid
0,cec2015,12,1
1,all,47,1
2,bbob,3,2
3,bbob,23,3
4,all,110,1
5,bbob,23,1
6,bbob,23,5
7,all,104,1
8,all,35,1
9,all,43,1
10,bbob,18,5
11,bbob,1,4
12,all,75,1
13,all,53,1
14,all,48,1
15,all,87,1
16,all,29,1
17,all,37,1
18,all,68,1
19,all,11,1
20,bbob,21,2
21,all,10,1
22,all,100,1
23,all,20,1
24,all,2,1
25,all,39,1
26,bbob,22,3
27,all,84,1
28,all,1,1
29,all,38,1
30,all,34,1
31,all,80,1
32,all,22,1
33,bbob,17,2
34,all,90,1
35,bbob,17,1
36,bbob,14,2
37,all,49,1
38,all,15,1
39,all,95,1
40,bbob,23,2
41,all,16,1
42,all,114,1
43,bbob,19,1
44,all,3,1
45,all,14,1
46,all,45,1
47,bbob,17,5
48,all,103,1
49,bbob,19,4
50,all,99,1
51,all,77,1
