,suite,fid,iid
0,bbob,17,3
1,bbob,1,4
2,all,1,1
3,bbob,14,2
4,all,114,1
5,all,94,1
6,all,100,1
7,bbob,23,2
8,bbob,22,1
9,all,24,1
10,all,69,1
11,bbob,19,4
12,all,61,1
13,all,31,1
14,all,14,1
15,all,22,1
16,bbob,14,4
17,bbob,17,5
18,bbob,21,4
19,all,113,1
20,bbob,22,3
21,all,91,1
22,all,78,1
23,all,59,1
24,bbob,23,5
25,all,84,1
26,all,66,1
27,all,37,1
28,all,39,1
29,all,107,1
30,all,45,1
31,all,15,1
32,bbob,14,1
33,all,35,1
34,all,49,1
35,all,25,1
36,all,80,1
37,all,43,1
38,all,40,1
39,all,38,1
40,all,99,1
41,all,20,1
42,all,34,1
43,all,104,1
44,bbob,12,3
45,bbob,17,2
46,all,103,1
47,bbob,19,1
48,bbob,1,3
49,bbob,18,5
