,suite,fid,iid
0,all,12,1
1,all,27,1
2,all,37,1
3,bbob,12,3
4,all,69,1
5,all,24,1
6,all,39,1
7,all,77,1
8,bbob,16,5
9,bbob,18,5
10,bbob,22,3
11,all,104,1
12,bbob,21,1
13,all,92,1
14,all,53,1
15,bbob,23,2
16,all,40,1
17,bbob,1,3
18,all,22,1
19,all,1,1
20,bbob,23,5
21,all,80,1
22,all,113,1
23,bbob,1,4
24,bbob,19,1
25,all,15,1
26,bbob,14,1
27,all,102,1
28,all,94,1
29,all,43,1
30,all,20,1
31,all,79,1
32,all,100,1
33,all,45,1
34,all,90,1
35,bbob,17,2
36,all,114,1
37,all,103,1
38,all,99,1
39,all,14,1
40,all,38,1
41,all,87,1
42,all,34,1
43,all,49,1
44,bbob,17,5
45,all,35,1
46,bbob,19,4
47,all,84,1
48,bbob,14,2
