,suite,fid,iid
0,bbob,18,5
1,all,119,1
2,all,2,1
3,all,105,1
4,all,47,1
5,bbob,21,4
6,all,89,1
7,bbob,16,5
8,bbob,22,3
9,all,100,1
10,all,99,1
11,bbob,17,2
12,all,69,1
13,all,109,1
14,all,59,1
15,all,75,1
16,all,94,1
17,all,103,1
18,bbob,23,5
19,all,20,1
20,all,45,1
21,all,84,1
22,all,107,1
23,bbob,1,3
24,all,80,1
25,bbob,17,5
26,all,34,1
27,bbob,14,1
28,all,96,1
29,all,40,1
30,all,104,1
31,bbob,1,4
32,all,24,1
33,all,14,1
34,all,35,1
35,all,22,1
36,all,114,1
37,bbob,12,3
38,bbob,14,2
39,bbob,23,2
40,all,49,1
41,bbob,19,2
42,all,38,1
43,all,3,1
44,all,15,1
45,bbob,19,4
46,all,61,1
47,all,87,1
48,all,39,1
49,all,43,1
50,all,37,1
51,bbob,19,1
52,all,77,1
