,suite,fid,iid
0,bbob,21,2
1,cec2014,13,1
2,bbob,18,5
3,all,92,1
4,all,24,1
5,all,38,1
6,bbob,23,5
7,bbob,17,2
8,all,84,1
9,all,17,1
10,all,34,1
11,all,99,1
12,bbob,3,2
13,bbob,17,5
14,all,100,1
15,all,102,1
16,bbob,19,4
17,bbob,14,2
18,all,37,1
19,all,2,1
20,all,35,1
21,all,68,1
22,all,80,1
23,bbob,23,3
24,all,20,1
25,bbob,1,4
26,all,15,1
27,all,11,1
28,all,47,1
29,all,77,1
30,bbob,17,1
31,all,66,1
32,all,75,1
33,all,39,1
34,all,95,1
35,bbob,23,2
36,all,94,1
37,all,22,1
38,all,3,1
39,all,40,1
40,all,103,1
41,all,25,1
42,all,53,1
43,all,104,1
44,all,90,1
45,all,49,1
46,all,14,1
47,bbob,22,3
48,bbob,19,1
49,all,114,1
50,all,45,1
51,all,43,1
