,suite,fid,iid
0,bbob,7,4
1,all,49,1
2,bbob,16,2
3,bbob,18,5
4,all,105,1
5,all,102,1
6,bbob,21,1
7,all,93,1
8,all,40,1
9,all,96,1
10,all,77,1
11,all,107,1
12,all,66,1
13,all,69,1
14,all,116,1
15,all,91,1
16,all,48,1
17,all,39,1
18,bbob,19,1
19,all,100,1
20,bbob,19,4
21,bbob,22,3
22,bbob,1,4
23,bbob,14,1
24,all,47,1
25,all,53,1
26,all,14,1
27,all,104,1
28,all,99,1
29,all,35,1
30,all,43,1
31,all,114,1
32,all,45,1
33,all,16,1
34,all,25,1
35,bbob,23,5
36,all,22,1
37,all,15,1
38,bbob,17,2
39,bbob,14,2
40,all,80,1
41,bbob,1,3
42,bbob,17,5
43,all,84,1
44,all,34,1
45,all,37,1
46,bbob,23,2
47,all,103,1
