,suite,fid,iid
0,bbob,11,5
1,all,107,1
2,all,37,1
3,all,91,1
4,all,87,1
5,all,116,1
6,bbob,14,2
7,all,1,1
8,bbob,16,4
9,all,102,1
10,all,6,1
11,bbob,1,1
12,all,40,1
13,all,3,1
14,all,43,1
15,all,77,1
16,bbob,22,3
17,all,94,1
18,all,2,1
19,all,30,1
20,all,45,1
21,bbob,16,5
22,all,15,1
23,bbob,17,2
24,all,99,1
25,all,35,1
26,all,114,1
27,all,5,1
28,bbob,23,5
29,all,53,1
30,all,84,1
31,bbob,17,4
32,all,75,1
33,bbob,1,3
34,all,104,1
35,all,14,1
36,bbob,17,5
37,bbob,18,5
38,bbob,23,2
39,all,103,1
40,bbob,1,4
41,bbob,19,4
42,all,47,1
43,all,22,1
44,all,24,1
45,bbob,14,1
46,all,80,1
47,all,49,1
48,all,39,1
49,bbob,19,1
