,suite,fid,iid
0,all,49,1
1,cec2013,12,1
2,bbob,18,5
3,bbob,1,3
4,all,104,1
5,all,6,1
6,all,66,1
7,all,19,1
8,all,80,1
9,all,48,1
10,bbob,19,4
11,all,79,1
12,bbob,16,2
13,all,43,1
14,bbob,19,2
15,all,40,1
16,all,114,1
17,all,90,1
18,all,99,1
19,all,61,1
20,all,103,1
21,all,4,1
22,all,100,1
23,bbob,14,2
24,all,37,1
25,bbob,3,2
26,all,15,1
27,all,77,1
28,all,116,1
29,bbob,19,1
30,bbob,23,1
31,bbob,23,2
32,all,59,1
33,all,45,1
34,bbob,17,2
35,all,24,1
36,all,39,1
37,all,22,1
38,all,35,1
39,bbob,1,4
40,all,47,1
41,all,84,1
42,all,14,1
43,bbob,21,4
44,bbob,17,5
45,bbob,17,1
46,bbob,22,3
47,bbob,23,5
