,suite,fid,iid
0,cec2013,8,1
1,cec2015,4,1
2,all,31,1
3,all,45,1
4,bbob,2,5
5,all,66,1
6,all,61,1
7,all,25,1
8,all,100,1
9,all,18,1
10,all,2,1
11,all,49,1
12,all,68,1
13,all,80,1
14,all,94,1
15,all,20,1
16,bbob,14,2
17,all,115,1
18,bbob,21,2
19,all,38,1
20,all,59,1
21,bbob,19,4
22,bbob,17,2
23,bbob,23,5
24,all,77,1
25,cec2014,28,1
26,all,16,1
27,bbob,17,1
28,bbob,19,1
29,all,84,1
30,all,15,1
31,all,95,1
32,bbob,18,5
33,bbob,23,2
34,bbob,22,3
35,all,43,1
36,all,103,1
37,all,90,1
38,all,34,1
39,all,99,1
40,all,39,1
41,all,40,1
42,all,47,1
43,bbob,17,5
44,all,104,1
45,all,14,1
46,all,22,1
47,all,114,1
48,bbob,1,3
49,all,35,1
50,all,37,1
51,bbob,1,4
