,suite,fid,iid
0,bbob,19,3
1,all,100,1
2,all,113,1
3,all,69,1
4,all,35,1
5,all,116,1
6,all,61,1
7,bbob,19,1
8,all,92,1
9,all,16,1
10,bbob,1,4
11,all,15,1
12,cec2013,8,1
13,bbob,23,2
14,all,114,1
15,all,79,1
16,bbob,14,1
17,bbob,21,2
18,bbob,23,1
19,all,80,1
20,all,39,1
21,all,103,1
22,bbob,1,3
23,all,48,1
24,all,90,1
25,all,99,1
26,bbob,12,4
27,all,14,1
28,bbob,23,5
29,bbob,19,4
30,bbob,14,2
31,all,87,1
32,all,34,1
33,bbob,18,5
34,all,43,1
35,all,77,1
36,all,40,1
37,all,49,1
38,all,1,1
39,all,59,1
40,bbob,17,2
41,all,45,1
42,all,37,1
43,all,22,1
44,bbob,22,3
45,all,84,1
46,all,104,1
47,bbob,17,5
