,suite,fid,iid
0,bbob,11,5
1,bbob,16,5
2,all,2,1
3,all,47,1
4,all,11,1
5,all,75,1
6,all,43,1
7,all,61,1
8,bbob,1,1
9,all,34,1
10,all,90,1
11,all,6,1
12,all,92,1
13,bbob,19,1
14,all,38,1
15,all,48,1
16,all,69,1
17,all,37,1
18,bbob,14,2
19,bbob,1,4
20,all,66,1
21,all,99,1
22,all,22,1
23,all,1,1
24,bbob,17,1
25,all,80,1
26,all,5,1
27,all,35,1
28,all,45,1
29,all,104,1
30,bbob,1,3
31,all,114,1
32,bbob,17,2
33,all,20,1
34,all,59,1
35,bbob,19,4
36,all,24,1
37,bbob,17,5
38,all,14,1
39,bbob,23,2
40,all,3,1
41,all,39,1
42,all,103,1
43,bbob,21,4
44,all,40,1
45,all,15,1
46,bbob,22,3
47,all,49,1
48,all,77,1
49,bbob,23,5
50,bbob,18,5
51,all,84,1
