,suite,fid,iid
0,cec2017,22,1
1,bbob,1,3
2,all,113,1
3,cec2013,9,1
4,bbob,19,4
5,all,80,1
6,bbob,14,2
7,all,79,1
8,all,107,1
9,bbob,16,5
10,all,84,1
11,all,19,1
12,all,37,1
13,bbob,17,5
14,bbob,22,3
15,all,59,1
16,all,14,1
17,bbob,17,1
18,all,61,1
19,bbob,23,2
20,all,1,1
21,all,87,1
22,bbob,19,1
23,bbob,21,2
24,all,110,1
25,all,94,1
26,all,24,1
27,all,43,1
28,all,77,1
29,bbob,18,5
30,all,49,1
31,all,39,1
32,all,45,1
33,all,15,1
34,all,20,1
35,all,40,1
36,bbob,1,4
37,all,95,1
38,bbob,3,2
39,all,103,1
40,all,5,1
41,all,114,1
42,all,22,1
43,bbob,23,5
44,all,38,1
45,all,99,1
46,all,35,1
47,all,104,1
48,bbob,17,2
