,suite,fid,iid
0,all,76,1
1,all,47,1
2,all,79,1
3,all,107,1
4,bbob,23,2
5,all,95,1
6,all,61,1
7,bbob,19,1
8,bbob,14,5
9,bbob,23,4
10,all,24,1
11,all,68,1
12,all,59,1
13,all,114,1
14,all,105,1
15,all,49,1
16,all,18,1
17,all,20,1
18,bbob,18,5
19,all,1,1
20,all,99,1
21,bbob,1,4
22,all,84,1
23,bbob,1,3
24,all,45,1
25,bbob,22,3
26,all,100,1
27,all,34,1
28,all,43,1
29,all,15,1
30,all,14,1
31,bbob,17,2
32,all,94,1
33,all,37,1
34,all,35,1
35,all,77,1
36,bbob,17,4
37,all,40,1
38,all,104,1
39,all,25,1
40,all,66,1
41,all,38,1
42,bbob,14,2
43,bbob,19,4
44,all,22,1
45,bbob,17,5
46,bbob,23,5
47,all,39,1
48,all,103,1
49,all,80,1
