,suite,fid,iid
0,cec2015,10,1
1,all,43,1
2,all,95,1
3,all,103,1
4,all,84,1
5,all,90,1
6,all,80,1
7,all,105,1
8,all,92,1
9,all,49,1
10,all,25,1
11,bbob,23,2
12,all,1,1
13,all,68,1
14,bbob,19,1
15,all,38,1
16,all,79,1
17,all,47,1
18,bbob,14,2
19,all,100,1
20,all,14,1
21,bbob,22,3
22,bbob,22,1
23,bbob,17,2
24,bbob,23,5
25,all,66,1
26,all,99,1
27,bbob,18,5
28,bbob,14,1
29,bbob,21,4
30,all,24,1
31,all,20,1
32,all,114,1
33,bbob,1,4
34,bbob,17,5
35,all,22,1
36,all,35,1
37,all,59,1
38,all,34,1
39,all,39,1
40,bbob,1,3
41,bbob,14,4
42,all,61,1
43,all,45,1
44,all,15,1
45,all,37,1
46,all,48,1
47,all,77,1
48,all,104,1
49,bbob,19,4
50,all,40,1
