,suite,fid,iid
0,all,36,1
1,all,110,1
2,all,105,1
3,bbob,23,2
4,bbob,1,1
5,bbob,19,1
6,all,68,1
7,bbob,12,5
8,all,84,1
9,all,75,1
10,all,118,1
11,all,107,1
12,bbob,17,5
13,all,53,1
14,bbob,14,1
15,bbob,19,4
16,all,20,1
17,all,94,1
18,cec2014,28,1
19,all,25,1
20,bbob,1,3
21,all,35,1
22,all,96,1
23,all,77,1
24,all,104,1
25,all,49,1
26,bbob,1,4
27,all,47,1
28,bbob,17,4
29,all,87,1
30,bbob,18,5
31,all,43,1
32,all,2,1
33,all,80,1
34,all,24,1
35,all,102,1
36,all,14,1
37,all,3,1
38,all,100,1
39,all,38,1
40,all,99,1
41,all,39,1
42,all,37,1
43,bbob,17,2
44,all,22,1
45,all,34,1
46,all,45,1
47,bbob,14,2
48,all,40,1
49,bbob,22,3
50,all,114,1
51,bbob,23,5
52,all,15,1
53,all,103,1
