,suite,fid,iid
0,all,95,1
1,bbob,22,4
2,all,3,1
3,all,43,1
4,all,17,1
5,all,61,1
6,all,16,1
7,all,84,1
8,all,69,1
9,bbob,19,1
10,all,116,1
11,all,35,1
12,all,94,1
13,cec2013,8,1
14,all,18,1
15,bbob,3,2
16,all,49,1
17,all,5,1
18,all,103,1
19,bbob,22,3
20,all,34,1
21,all,75,1
22,all,37,1
23,all,14,1
24,all,39,1
25,bbob,19,4
26,all,1,1
27,bbob,21,2
28,bbob,18,5
29,all,87,1
30,all,15,1
31,all,99,1
32,all,45,1
33,bbob,23,2
34,bbob,17,2
35,all,77,1
36,bbob,1,3
37,bbob,23,5
38,all,40,1
39,all,22,1
40,all,47,1
41,bbob,23,1
42,bbob,14,2
43,all,59,1
44,all,107,1
45,all,114,1
46,all,80,1
47,bbob,17,5
48,bbob,17,1
49,bbob,1,4
50,all,2,1
51,all,104,1
