,suite,fid,iid
0,all,4,1
1,cec2017,9,1
2,all,66,1
3,all,39,1
4,all,47,1
5,all,35,1
6,all,69,1
7,bbob,22,3
8,bbob,3,2
9,all,83,1
10,all,16,1
11,all,53,1
12,bbob,17,4
13,all,40,1
14,bbob,14,2
15,all,115,1
16,all,49,1
17,all,80,1
18,all,94,1
19,bbob,23,2
20,all,107,1
21,all,14,1
22,all,37,1
23,all,78,1
24,all,25,1
25,bbob,23,3
26,all,1,1
27,all,22,1
28,all,34,1
29,bbob,17,5
30,all,99,1
31,all,114,1
32,bbob,1,4
33,all,20,1
34,bbob,17,2
35,all,45,1
36,all,5,1
37,bbob,23,5
38,all,84,1
39,all,15,1
40,all,103,1
41,bbob,19,4
42,all,95,1
43,all,31,1
44,all,104,1
45,bbob,19,1
46,bbob,18,5
47,all,38,1
48,all,43,1
