,suite,fid,iid
0,bbob,7,3
1,bbob,19,2
2,all,1,1
3,all,105,1
4,all,22,1
5,all,25,1
6,bbob,14,1
7,all,110,1
8,all,78,1
9,all,94,1
10,bbob,16,2
11,all,90,1
12,bbob,21,4
13,bbob,22,3
14,all,53,1
15,all,34,1
16,all,47,1
17,all,37,1
18,bbob,14,2
19,all,16,1
20,bbob,23,2
21,all,99,1
22,all,14,1
23,all,84,1
24,all,66,1
25,all,20,1
26,all,31,1
27,bbob,17,5
28,bbob,1,3
29,all,40,1
30,all,103,1
31,all,5,1
32,all,38,1
33,bbob,19,4
34,all,43,1
35,all,69,1
36,all,39,1
37,all,114,1
38,bbob,17,2
39,bbob,23,5
40,all,15,1
41,bbob,1,4
42,all,45,1
43,bbob,18,5
44,all,49,1
45,all,104,1
46,all,80,1
47,bbob,19,1
48,all,35,1
