,suite,fid,iid
0,bbob,4,4
1,all,89,1
2,all,80,1
3,all,59,1
4,all,75,1
5,cec2013,12,1
6,all,105,1
7,bbob,17,1
8,all,69,1
9,all,77,1
10,all,40,1
11,all,61,1
12,all,95,1
13,all,66,1
14,all,90,1
15,bbob,1,4
16,all,114,1
17,bbob,21,2
18,all,37,1
19,bbob,23,1
20,all,35,1
21,bbob,19,1
22,all,22,1
23,all,45,1
24,all,3,1
25,all,39,1
26,all,24,1
27,all,84,1
28,all,5,1
29,bbob,19,4
30,all,99,1
31,bbob,22,3
32,all,2,1
33,bbob,17,2
34,bbob,17,5
35,all,38,1
36,all,15,1
37,bbob,23,3
38,all,47,1
39,all,34,1
40,all,91,1
41,all,49,1
42,all,14,1
43,bbob,18,5
44,bbob,23,5
45,all,104,1
46,all,48,1
47,all,43,1
48,bbob,14,2
49,bbob,23,2
50,all,103,1
