,suite,fid,iid
0,bbob,1,5
1,all,27,1
2,all,102,1
3,all,31,1
4,bbob,23,1
5,all,45,1
6,all,96,1
7,all,22,1
8,all,114,1
9,bbob,12,2
10,all,17,1
11,all,92,1
12,bbob,19,1
13,cec2014,28,1
14,all,78,1
15,all,34,1
16,bbob,23,5
17,bbob,1,3
18,all,99,1
19,bbob,18,5
20,all,40,1
21,all,87,1
22,all,20,1
23,all,84,1
24,bbob,1,4
25,bbob,14,2
26,all,80,1
27,all,94,1
28,all,37,1
29,bbob,17,4
30,all,49,1
31,bbob,22,3
32,bbob,14,1
33,bbob,17,2
34,all,47,1
35,bbob,23,2
36,all,35,1
37,all,104,1
38,all,68,1
39,bbob,19,4
40,all,14,1
41,all,15,1
42,all,43,1
43,bbob,17,5
44,all,5,1
45,all,38,1
46,all,107,1
47,all,103,1
48,all,39,1
49,all,16,1
