,suite,fid,iid
0,all,84,1
1,cec2014,14,1
2,bbob,16,4
3,all,59,1
4,all,43,1
5,all,40,1
6,all,90,1
7,bbob,14,5
8,all,80,1
9,all,95,1
10,bbob,17,5
11,all,77,1
12,all,20,1
13,bbob,21,2
14,all,66,1
15,all,14,1
16,all,45,1
17,all,99,1
18,all,92,1
19,bbob,1,4
20,all,79,1
21,all,39,1
22,bbob,19,1
23,all,17,1
24,bbob,22,3
25,all,103,1
26,all,35,1
27,bbob,19,4
28,bbob,18,5
29,all,22,1
30,all,19,1
31,all,16,1
32,all,47,1
33,all,104,1
34,bbob,1,3
35,all,48,1
36,all,114,1
37,all,38,1
38,all,61,1
39,bbob,23,1
40,all,15,1
41,bbob,17,2
42,bbob,23,2
43,all,5,1
44,all,49,1
45,bbob,23,5
46,bbob,14,2
47,all,37,1
