,suite,fid,iid
0,all,1,1
1,all,9,1
2,all,20,1
3,all,14,1
4,all,38,1
5,bbob,14,4
6,all,25,1
7,all,80,1
8,bbob,14,2
9,all,90,1
10,bbob,12,3
11,cec2013,8,1
12,bbob,19,4
13,all,68,1
14,all,105,1
15,all,29,1
16,all,103,1
17,bbob,22,3
18,all,31,1
19,all,94,1
20,all,16,1
21,bbob,21,4
22,all,22,1
23,all,47,1
24,bbob,19,1
25,bbob,17,5
26,all,66,1
27,all,5,1
28,all,91,1
29,all,77,1
30,all,49,1
31,all,43,1
32,all,59,1
33,all,99,1
34,all,39,1
35,all,95,1
36,bbob,14,1
37,all,84,1
38,all,15,1
39,all,45,1
40,bbob,17,2
41,all,37,1
42,all,34,1
43,bbob,23,5
44,all,114,1
45,all,104,1
46,bbob,23,2
47,bbob,1,3
48,bbob,18,5
49,bbob,1,4
50,all,35,1
51,all,2,1
