,suite,fid,iid
0,cec2014,4,1
1,all,25,1
2,all,96,1
3,all,29,1
4,bbob,19,2
5,all,90,1
6,bbob,23,4
7,all,19,1
8,bbob,17,2
9,all,53,1
10,all,103,1
11,all,20,1
12,all,17,1
13,all,22,1
14,bbob,21,4
15,all,3,1
16,bbob,18,5
17,all,16,1
18,bbob,23,2
19,all,109,1
20,bbob,17,1
21,all,99,1
22,all,37,1
23,all,48,1
24,all,14,1
25,all,2,1
26,bbob,3,2
27,all,66,1
28,all,49,1
29,bbob,19,4
30,all,47,1
31,all,77,1
32,all,39,1
33,all,84,1
34,all,43,1
35,bbob,23,5
36,all,38,1
37,bbob,1,3
38,all,104,1
39,bbob,17,5
40,bbob,22,3
41,bbob,1,4
42,all,45,1
43,all,100,1
44,all,15,1
45,all,80,1
46,all,35,1
47,all,114,1
48,all,75,1
49,bbob,14,2
50,bbob,19,1
