,suite,fid,iid
0,bbob,6,1
1,all,90,1
2,bbob,21,4
3,all,39,1
4,all,105,1
5,all,114,1
6,bbob,17,5
7,bbob,23,3
8,all,18,1
9,all,25,1
10,all,34,1
11,all,11,1
12,all,29,1
13,all,100,1
14,all,31,1
15,all,2,1
16,all,95,1
17,bbob,22,3
18,all,20,1
19,bbob,23,2
20,all,49,1
21,bbob,19,1
22,all,35,1
23,bbob,19,4
24,all,59,1
25,bbob,17,2
26,all,15,1
27,all,103,1
28,all,104,1
29,all,45,1
30,all,69,1
31,all,99,1
32,bbob,1,4
33,bbob,14,2
34,all,47,1
35,bbob,14,4
36,all,16,1
37,bbob,23,5
38,all,77,1
39,all,94,1
40,all,80,1
41,all,22,1
42,cec2013,11,1
43,bbob,14,1
44,all,84,1
45,all,14,1
46,bbob,18,5
47,all,37,1
48,all,66,1
49,all,38,1
50,all,43,1
