,suite,fid,iid
0,cec2014,5,1
1,bbob,17,2
2,all,92,1
3,all,48,1
4,bbob,21,2
5,all,116,1
6,cec2013,9,1
7,all,2,1
8,all,103,1
9,all,39,1
10,all,115,1
11,bbob,19,4
12,all,66,1
13,all,30,1
14,all,37,1
15,all,40,1
16,all,61,1
17,all,75,1
18,all,84,1
19,all,43,1
20,all,80,1
21,bbob,17,5
22,bbob,16,5
23,all,77,1
24,all,1,1
25,bbob,22,3
26,all,22,1
27,all,15,1
28,bbob,3,2
29,bbob,19,1
30,all,99,1
31,all,95,1
32,bbob,1,3
33,all,100,1
34,all,49,1
35,bbob,23,2
36,bbob,18,5
37,all,114,1
38,all,45,1
39,bbob,17,1
40,all,35,1
41,all,16,1
42,all,59,1
43,all,107,1
44,bbob,23,5
45,bbob,1,4
46,all,3,1
47,all,104,1
48,all,14,1
49,bbob,14,2
50,all,47,1
