,suite,fid,iid
0,all,61,1
1,bbob,8,1
2,bbob,19,5
3,all,115,1
4,all,92,1
5,bbob,17,2
6,all,49,1
7,all,34,1
8,all,38,1
9,all,99,1
10,bbob,14,2
11,all,68,1
12,all,25,1
13,bbob,1,3
14,bbob,14,4
15,all,66,1
16,cec2013,11,1
17,all,22,1
18,all,14,1
19,bbob,1,4
20,all,37,1
21,all,107,1
22,all,35,1
23,bbob,21,4
24,all,93,1
25,all,48,1
26,bbob,23,2
27,bbob,14,1
28,all,84,1
29,all,43,1
30,all,77,1
31,bbob,23,5
32,bbob,22,3
33,all,114,1
34,all,59,1
35,all,47,1
36,bbob,18,5
37,all,5,1
38,bbob,19,4
39,bbob,17,5
40,all,16,1
41,all,39,1
42,all,40,1
43,all,15,1
44,bbob,19,1
45,all,95,1
46,all,80,1
47,all,103,1
48,all,104,1
49,all,20,1
50,all,45,1
