,suite,fid,iid
0,bbob,5,4
1,all,45,1
2,all,90,1
3,all,104,1
4,bbob,17,4
5,bbob,14,2
6,bbob,19,5
7,all,114,1
8,all,115,1
9,all,21,1
10,all,4,1
11,bbob,19,1
12,all,31,1
13,all,84,1
14,all,34,1
15,bbob,23,1
16,all,16,1
17,bbob,1,3
18,all,20,1
19,all,40,1
20,all,87,1
21,bbob,22,3
22,all,43,1
23,all,39,1
24,all,103,1
25,all,48,1
26,bbob,18,5
27,all,2,1
28,all,100,1
29,all,38,1
30,bbob,17,2
31,all,35,1
32,all,96,1
33,all,68,1
34,all,77,1
35,all,22,1
36,all,47,1
37,bbob,19,4
38,bbob,1,1
39,bbob,17,5
40,bbob,23,5
41,bbob,23,2
42,bbob,14,1
43,all,15,1
44,all,49,1
45,all,80,1
46,all,14,1
47,all,99,1
48,all,37,1
49,bbob,1,4
