,suite,fid,iid
0,all,37,1
1,all,33,1
2,all,27,1
3,all,103,1
4,all,47,1
5,all,49,1
6,all,69,1
7,all,2,1
8,all,21,1
9,all,66,1
10,bbob,23,5
11,all,6,1
12,all,48,1
13,all,4,1
14,bbob,21,2
15,all,34,1
16,bbob,14,2
17,all,114,1
18,all,75,1
19,all,99,1
20,bbob,19,1
21,all,24,1
22,bbob,16,5
23,all,1,1
24,all,107,1
25,all,100,1
26,all,14,1
27,all,95,1
28,all,77,1
29,all,15,1
30,all,116,1
31,all,39,1
32,bbob,1,3
33,bbob,14,5
34,all,43,1
35,all,84,1
36,all,80,1
37,all,35,1
38,bbob,22,3
39,all,45,1
40,bbob,19,4
41,bbob,17,5
42,all,104,1
43,all,3,1
44,all,40,1
45,bbob,18,5
46,bbob,17,2
47,bbob,23,2
48,all,22,1
49,bbob,1,4
