,suite,fid,iid
0,cec2017,19,1
1,all,87,1
2,all,30,1
3,bbob,22,1
4,all,47,1
5,bbob,14,5
6,all,18,1
7,all,99,1
8,all,96,1
9,bbob,16,5
10,all,78,1
11,bbob,22,3
12,all,29,1
13,bbob,21,2
14,bbob,17,5
15,all,59,1
16,all,24,1
17,all,35,1
18,all,115,1
19,bbob,1,4
20,all,104,1
21,all,103,1
22,all,94,1
23,all,114,1
24,all,84,1
25,bbob,23,5
26,bbob,19,1
27,all,38,1
28,bbob,18,5
29,all,43,1
30,all,80,1
31,bbob,1,3
32,all,39,1
33,all,95,1
34,bbob,19,4
35,all,15,1
36,all,107,1
37,bbob,14,2
38,all,14,1
39,all,5,1
40,all,22,1
41,all,31,1
42,all,49,1
43,bbob,23,2
44,bbob,17,2
45,all,37,1
46,all,45,1
