,suite,fid,iid
0,cec2013,17,1
1,bbob,23,5
2,all,29,1
3,all,45,1
4,all,31,1
5,bbob,12,3
6,all,68,1
7,bbob,23,2
8,all,103,1
9,all,90,1
10,all,39,1
11,all,11,1
12,bbob,22,3
13,all,18,1
14,all,37,1
15,all,87,1
16,all,22,1
17,all,20,1
18,bbob,1,3
19,bbob,16,5
20,bbob,14,2
21,all,113,1
22,bbob,21,2
23,all,53,1
24,all,2,1
25,bbob,17,2
26,bbob,19,1
27,all,5,1
28,all,84,1
29,all,99,1
30,all,14,1
31,bbob,17,1
32,bbob,18,5
33,bbob,17,5
34,all,34,1
35,all,15,1
36,bbob,19,4
37,all,80,1
38,all,77,1
39,all,16,1
40,all,49,1
41,all,38,1
42,all,94,1
43,all,114,1
44,all,95,1
45,all,35,1
46,all,104,1
47,bbob,1,4
48,all,43,1
