,suite,fid,iid
0,all,56,1
1,all,49,1
2,all,102,1
3,all,31,1
4,all,104,1
5,all,105,1
6,bbob,17,4
7,all,20,1
8,bbob,23,1
9,all,118,1
10,all,5,1
11,bbob,22,3
12,all,90,1
13,all,103,1
14,bbob,1,4
15,all,109,1
16,all,95,1
17,all,78,1
18,all,99,1
19,all,48,1
20,all,39,1
21,all,22,1
22,bbob,23,2
23,all,14,1
24,all,40,1
25,all,16,1
26,all,35,1
27,bbob,14,2
28,all,84,1
29,bbob,1,3
30,bbob,18,5
31,bbob,17,2
32,bbob,19,4
33,all,15,1
34,bbob,14,4
35,all,38,1
36,all,45,1
37,all,43,1
38,all,34,1
39,all,87,1
40,all,68,1
41,all,37,1
42,bbob,14,1
43,all,80,1
44,all,96,1
45,bbob,17,5
46,all,47,1
47,all,114,1
48,bbob,23,5
49,bbob,12,3
50,bbob,19,1
