,suite,fid,iid
0,bbob,13,1
1,all,47,1
2,all,79,1
3,all,84,1
4,all,95,1
5,all,21,1
6,all,69,1
7,bbob,19,5
8,bbob,17,5
9,all,48,1
10,all,116,1
11,all,103,1
12,bbob,3,2
13,all,77,1
14,all,1,1
15,all,99,1
16,all,43,1
17,bbob,16,5
18,all,110,1
19,all,100,1
20,bbob,1,4
21,bbob,1,3
22,all,80,1
23,bbob,21,4
24,bbob,19,4
25,bbob,18,5
26,all,22,1
27,all,15,1
28,bbob,19,1
29,all,14,1
30,all,34,1
31,all,90,1
32,bbob,17,2
33,all,6,1
34,all,87,1
35,bbob,23,5
36,bbob,17,1
37,all,16,1
38,bbob,23,2
39,all,35,1
40,all,114,1
41,all,37,1
42,all,39,1
43,all,49,1
44,bbob,14,2
45,bbob,22,3
46,all,45,1
47,all,40,1
48,all,104,1
