,suite,fid,iid
0,cec2014,9,1
1,all,31,1
2,all,49,1
3,all,113,1
4,all,43,1
5,all,5,1
6,bbob,14,4
7,all,22,1
8,bbob,21,3
9,all,116,1
10,bbob,19,1
11,all,109,1
12,all,114,1
13,all,14,1
14,all,95,1
15,bbob,23,1
16,all,94,1
17,bbob,17,5
18,all,77,1
19,bbob,17,2
20,all,19,1
21,all,87,1
22,all,15,1
23,all,16,1
24,bbob,14,2
25,all,103,1
26,all,45,1
27,bbob,1,3
28,bbob,14,1
29,all,29,1
30,bbob,21,4
31,all,53,1
32,all,39,1
33,bbob,1,4
34,bbob,23,5
35,all,107,1
36,bbob,19,4
37,all,99,1
38,all,84,1
39,all,104,1
40,all,35,1
41,bbob,18,5
42,bbob,22,3
43,all,37,1
44,bbob,12,4
45,bbob,23,2
46,all,2,1
47,all,80,1
