,suite,fid,iid
0,cec2015,6,1
1,bbob,18,5
2,bbob,19,1
3,all,24,1
4,bbob,14,1
5,cec2013,8,1
6,all,114,1
7,all,95,1
8,all,94,1
9,all,37,1
10,all,68,1
11,bbob,16,5
12,all,109,1
13,all,40,1
14,all,17,1
15,all,45,1
16,all,49,1
17,all,22,1
18,bbob,1,3
19,all,1,1
20,all,61,1
21,all,100,1
22,bbob,1,4
23,all,116,1
24,all,77,1
25,all,66,1
26,all,47,1
27,all,3,1
28,all,90,1
29,bbob,17,5
30,all,80,1
31,bbob,19,4
32,bbob,21,4
33,bbob,17,2
34,all,34,1
35,bbob,22,3
36,all,39,1
37,bbob,23,5
38,bbob,14,4
39,all,43,1
40,all,103,1
41,all,2,1
42,bbob,14,2
43,bbob,23,2
44,all,99,1
45,all,104,1
46,all,75,1
47,all,15,1
48,all,59,1
49,all,35,1
50,all,14,1
51,all,84,1
