,suite,fid,iid
0,bbob,12,4
1,bbob,19,1
2,all,107,1
3,cec2014,13,1
4,bbob,23,3
5,all,59,1
6,bbob,17,5
7,bbob,18,5
8,all,22,1
9,bbob,21,1
10,all,38,1
11,all,113,1
12,bbob,19,4
13,all,100,1
14,all,78,1
15,all,83,1
16,all,4,1
17,all,31,1
18,all,103,1
19,all,66,1
20,all,19,1
21,bbob,22,3
22,all,84,1
23,bbob,16,5
24,all,35,1
25,all,20,1
26,bbob,23,5
27,all,16,1
28,bbob,1,4
29,all,14,1
30,all,61,1
31,all,40,1
32,all,48,1
33,all,43,1
34,bbob,17,2
35,all,49,1
36,bbob,14,2
37,all,104,1
38,all,45,1
39,all,114,1
40,bbob,14,1
41,all,39,1
42,all,80,1
43,all,15,1
44,bbob,23,2
45,all,99,1
46,all,37,1
