,suite,fid,iid
0,bbob,11,4
1,all,104,1
2,bbob,21,3
3,all,1,1
4,bbob,17,5
5,bbob,22,5
6,all,113,1
7,all,38,1
8,all,49,1
9,all,69,1
10,all,39,1
11,all,78,1
12,all,48,1
13,bbob,19,4
14,bbob,23,1
15,all,102,1
16,bbob,14,2
17,all,37,1
18,all,84,1
19,bbob,23,2
20,bbob,17,2
21,bbob,18,5
22,all,103,1
23,bbob,17,4
24,all,110,1
25,bbob,1,4
26,all,99,1
27,all,43,1
28,all,75,1
29,all,45,1
30,bbob,19,1
31,bbob,1,3
32,all,80,1
33,all,100,1
34,bbob,23,5
35,all,16,1
36,all,66,1
37,all,107,1
38,bbob,14,1
39,all,15,1
40,all,114,1
41,all,35,1
42,bbob,22,3
43,all,20,1
44,all,22,1
45,all,14,1
46,all,40,1
47,all,34,1
