,suite,fid,iid
0,all,87,1
1,all,38,1
2,all,105,1
3,bbob,22,4
4,bbob,23,4
5,all,99,1
6,all,34,1
7,all,114,1
8,all,93,1
9,all,109,1
10,bbob,22,3
11,bbob,23,2
12,all,84,1
13,bbob,17,2
14,all,69,1
15,all,24,1
16,bbob,1,3
17,all,94,1
18,all,96,1
19,all,90,1
20,bbob,3,2
21,all,95,1
22,bbob,21,2
23,all,80,1
24,all,103,1
25,all,104,1
26,all,61,1
27,all,15,1
28,all,47,1
29,all,39,1
30,all,43,1
31,all,49,1
32,bbob,23,1
33,all,37,1
34,bbob,19,4
35,all,59,1
36,all,14,1
37,bbob,1,4
38,all,100,1
39,bbob,17,1
40,bbob,18,5
41,bbob,19,1
42,bbob,17,5
43,all,40,1
44,bbob,14,2
45,all,45,1
46,bbob,23,5
47,all,35,1
48,all,22,1
49,all,77,1
