,suite,fid,iid
0,cec2013,16,1
1,bbob,23,3
2,all,92,1
3,all,114,1
4,all,118,1
5,bbob,17,4
6,all,1,1
7,all,99,1
8,all,17,1
9,all,103,1
10,all,20,1
11,all,38,1
12,bbob,2,1
13,all,59,1
14,all,22,1
15,all,19,1
16,all,14,1
17,bbob,14,4
18,all,5,1
19,bbob,19,4
20,all,80,1
21,all,25,1
22,bbob,18,5
23,bbob,17,5
24,all,35,1
25,all,94,1
26,bbob,22,3
27,all,104,1
28,bbob,23,5
29,all,45,1
30,bbob,17,2
31,all,15,1
32,all,93,1
33,all,39,1
34,all,16,1
35,all,61,1
36,all,77,1
37,all,66,1
38,bbob,14,2
39,all,43,1
40,all,40,1
41,all,49,1
42,bbob,1,4
43,all,47,1
44,all,37,1
45,all,95,1
46,all,107,1
47,bbob,23,2
48,all,84,1
49,bbob,19,1
