,suite,fid,iid
0,all,78,1
1,all,104,1
2,all,72,1
3,all,49,1
4,bbob,23,4
5,all,114,1
6,all,87,1
7,all,24,1
8,bbob,23,5
9,bbob,14,4
10,all,17,1
11,all,22,1
12,bbob,18,5
13,all,61,1
14,all,25,1
15,bbob,19,4
16,all,1,1
17,all,31,1
18,all,94,1
19,all,15,1
20,all,90,1
21,all,18,1
22,all,19,1
23,all,103,1
24,all,39,1
25,bbob,12,3
26,all,47,1
27,all,116,1
28,bbob,22,3
29,bbob,1,3
30,all,45,1
31,bbob,21,4
32,all,100,1
33,all,59,1
34,bbob,14,2
35,all,84,1
36,all,80,1
37,all,95,1
38,all,99,1
39,bbob,19,1
40,bbob,23,2
41,bbob,17,5
42,all,35,1
43,all,14,1
44,bbob,14,1
45,all,43,1
46,bbob,17,2
47,all,40,1
48,all,37,1
49,bbob,1,4
