,suite,fid,iid
0,bbob,8,4
1,all,103,1
2,all,16,1
3,all,78,1
4,bbob,23,4
5,bbob,23,2
6,bbob,23,5
7,cec2013,11,1
8,all,80,1
9,all,45,1
10,all,84,1
11,bbob,17,1
12,all,61,1
13,all,35,1
14,all,31,1
15,bbob,16,5
16,bbob,19,4
17,bbob,22,3
18,all,10,1
19,all,66,1
20,bbob,18,5
21,all,22,1
22,all,49,1
23,all,19,1
24,bbob,17,5
25,all,38,1
26,all,104,1
27,bbob,21,2
28,bbob,19,1
29,all,39,1
30,bbob,14,2
31,all,95,1
32,all,20,1
33,all,5,1
34,bbob,1,3
35,all,110,1
36,all,37,1
37,all,90,1
38,all,99,1
39,all,40,1
40,all,48,1
41,bbob,17,2
42,all,47,1
43,all,43,1
44,bbob,1,4
45,all,14,1
46,all,114,1
47,all,15,1
48,all,59,1
