,suite,fid,iid
0,bbob,15,2
1,all,69,1
2,all,3,1
3,all,49,1
4,bbob,17,2
5,all,59,1
6,all,61,1
7,all,91,1
8,all,10,1
9,all,96,1
10,all,40,1
11,bbob,23,2
12,bbob,16,4
13,all,15,1
14,bbob,23,5
15,all,80,1
16,bbob,22,3
17,bbob,1,1
18,all,47,1
19,all,104,1
20,all,43,1
21,all,77,1
22,all,84,1
23,all,37,1
24,all,39,1
25,all,25,1
26,all,87,1
27,bbob,18,5
28,all,114,1
29,all,90,1
30,all,94,1
31,all,99,1
32,bbob,17,1
33,all,24,1
34,all,2,1
35,all,22,1
36,all,5,1
37,all,116,1
38,bbob,1,3
39,all,14,1
40,all,103,1
41,all,34,1
42,bbob,1,4
43,bbob,19,1
44,all,45,1
45,all,75,1
46,bbob,14,2
47,bbob,17,5
48,all,35,1
49,bbob,21,4
50,bbob,19,4
