,suite,fid,iid
0,cec2017,4,1
1,bbob,17,2
2,all,1,1
3,all,6,1
4,all,95,1
5,bbob,23,3
6,all,31,1
7,all,35,1
8,bbob,19,4
9,all,43,1
10,all,77,1
11,all,18,1
12,all,116,1
13,all,30,1
14,all,15,1
15,all,37,1
16,bbob,21,4
17,all,103,1
18,all,40,1
19,all,25,1
20,all,102,1
21,all,24,1
22,all,45,1
23,all,94,1
24,all,14,1
25,all,118,1
26,all,47,1
27,all,80,1
28,all,100,1
29,bbob,23,2
30,all,22,1
31,all,2,1
32,all,39,1
33,all,84,1
34,all,114,1
35,bbob,1,4
36,bbob,12,3
37,all,87,1
38,all,99,1
39,bbob,17,5
40,all,104,1
41,all,90,1
42,bbob,19,1
43,bbob,14,4
44,bbob,22,3
45,all,49,1
46,bbob,14,2
47,bbob,23,5
48,bbob,18,5
49,bbob,14,1
