,suite,fid,iid
0,cec2015,5,1
1,bbob,12,3
2,all,104,1
3,all,49,1
4,all,83,1
5,all,53,1
6,all,100,1
7,all,109,1
8,bbob,1,4
9,bbob,21,4
10,all,35,1
11,all,38,1
12,all,1,1
13,all,37,1
14,bbob,17,5
15,all,22,1
16,all,3,1
17,all,6,1
18,all,68,1
19,all,114,1
20,bbob,14,2
21,all,39,1
22,all,40,1
23,all,34,1
24,all,103,1
25,bbob,23,2
26,all,43,1
27,all,20,1
28,bbob,1,1
29,all,99,1
30,bbob,23,3
31,bbob,16,5
32,bbob,22,3
33,all,16,1
34,all,107,1
35,all,66,1
36,all,94,1
37,all,80,1
38,bbob,23,5
39,bbob,19,4
40,bbob,14,1
41,bbob,19,1
42,bbob,18,5
43,all,45,1
44,all,84,1
45,all,77,1
46,all,15,1
47,all,2,1
48,all,75,1
49,bbob,17,2
50,all,14,1
51,all,47,1
