,suite,fid,iid
0,all,7,1
1,all,31,1
2,all,38,1
3,cec2013,8,1
4,bbob,18,5
5,all,5,1
6,all,107,1
7,all,35,1
8,all,84,1
9,bbob,19,1
10,all,19,1
11,all,115,1
12,all,104,1
13,all,18,1
14,bbob,23,5
15,bbob,14,4
16,all,29,1
17,bbob,17,5
18,all,59,1
19,bbob,14,2
20,bbob,17,2
21,bbob,17,4
22,all,48,1
23,bbob,16,5
24,all,96,1
25,all,20,1
26,all,22,1
27,all,49,1
28,all,16,1
29,all,15,1
30,bbob,14,1
31,all,39,1
32,all,14,1
33,all,43,1
34,all,87,1
35,all,78,1
36,bbob,19,4
37,all,95,1
38,all,45,1
39,bbob,22,3
40,all,99,1
41,all,80,1
42,all,47,1
43,all,103,1
44,bbob,1,4
45,bbob,23,2
46,bbob,12,3
47,all,114,1
48,all,37,1
49,bbob,1,3
