,suite,fid,iid
0,cec2013,2,1
1,all,4,1
2,all,37,1
3,bbob,18,2
4,bbob,18,5
5,all,107,1
6,all,19,1
7,bbob,23,4
8,bbob,14,1
9,all,96,1
10,bbob,1,4
11,all,43,1
12,all,48,1
13,all,87,1
14,all,45,1
15,all,100,1
16,bbob,17,5
17,all,3,1
18,all,47,1
19,all,80,1
20,all,115,1
21,all,14,1
22,all,25,1
23,bbob,17,2
24,all,38,1
25,bbob,22,3
26,all,84,1
27,bbob,1,3
28,all,16,1
29,all,49,1
30,all,104,1
31,all,29,1
32,all,20,1
33,all,77,1
34,all,53,1
35,all,22,1
36,bbob,23,2
37,all,75,1
38,bbob,23,5
39,bbob,14,2
40,all,99,1
41,all,2,1
42,all,35,1
43,all,114,1
44,bbob,19,1
45,all,103,1
46,all,15,1
47,bbob,19,4
48,all,39,1
