,suite,fid,iid
0,all,15,1
1,all,37,1
2,all,48,1
3,all,92,1
4,all,103,1
5,all,114,1
6,all,24,1
7,bbob,23,4
8,all,59,1
9,bbob,1,4
10,bbob,14,1
11,all,19,1
12,all,39,1
13,bbob,9,2
14,all,61,1
15,all,105,1
16,all,96,1
17,all,107,1
18,all,43,1
19,all,87,1
20,all,45,1
21,all,14,1
22,all,47,1
23,bbob,1,3
24,bbob,17,2
25,bbob,17,5
26,bbob,19,2
27,all,100,1
28,all,80,1
29,all,3,1
30,all,49,1
31,all,104,1
32,all,40,1
33,bbob,23,2
34,bbob,23,5
35,bbob,14,2
36,all,84,1
37,all,38,1
38,bbob,19,1
39,all,75,1
40,bbob,19,4
41,all,22,1
42,all,77,1
43,all,99,1
44,all,2,1
45,all,35,1
46,bbob,22,3
47,bbob,18,5
48,bbob,21,4
49,bbob,23,1
