,suite,fid,iid
0,bbob,7,5
1,all,10,1
2,all,21,1
3,all,87,1
4,bbob,18,5
5,all,43,1
6,all,109,1
7,all,1,1
8,all,45,1
9,all,3,1
10,all,25,1
11,bbob,1,4
12,bbob,14,1
13,bbob,14,4
14,all,49,1
15,all,14,1
16,all,47,1
17,all,80,1
18,all,5,1
19,all,27,1
20,all,38,1
21,all,104,1
22,all,16,1
23,all,84,1
24,all,95,1
25,all,20,1
26,all,75,1
27,bbob,1,3
28,bbob,17,2
29,all,40,1
30,bbob,17,5
31,all,22,1
32,all,77,1
33,all,99,1
34,all,15,1
35,all,37,1
36,all,103,1
37,all,35,1
38,bbob,23,2
39,all,90,1
40,bbob,23,5
41,bbob,14,2
42,all,2,1
43,all,114,1
44,all,39,1
45,all,94,1
46,bbob,19,4
47,bbob,19,1
48,bbob,21,4
49,bbob,22,3
50,all,19,1
