,suite,fid,iid
0,all,20,1
1,bbob,1,4
2,cec2015,2,1
3,all,31,1
4,bbob,14,1
5,all,22,1
6,all,99,1
7,all,35,1
8,all,15,1
9,all,37,1
10,all,48,1
11,all,59,1
12,all,114,1
13,all,103,1
14,all,61,1
15,bbob,1,3
16,all,107,1
17,bbob,17,5
18,bbob,17,2
19,all,6,1
20,bbob,21,2
21,bbob,12,3
22,all,39,1
23,all,96,1
24,all,118,1
25,all,43,1
26,all,87,1
27,all,45,1
28,all,78,1
29,all,100,1
30,bbob,23,5
31,bbob,23,2
32,all,34,1
33,bbob,14,2
34,all,14,1
35,all,25,1
36,all,69,1
37,all,80,1
38,all,91,1
39,all,47,1
40,all,38,1
41,bbob,22,3
42,all,49,1
43,all,104,1
44,all,16,1
45,all,40,1
46,all,95,1
47,bbob,19,1
48,bbob,18,5
49,bbob,19,4
50,all,84,1
