,suite,fid,iid
0,bbob,20,5
1,bbob,1,4
2,bbob,23,4
3,bbob,1,1
4,bbob,23,1
5,bbob,14,1
6,all,21,1
7,all,87,1
8,all,109,1
9,all,34,1
10,all,45,1
11,all,3,1
12,all,47,1
13,all,115,1
14,all,14,1
15,all,69,1
16,all,80,1
17,all,5,1
18,all,16,1
19,bbob,1,3
20,all,104,1
21,all,38,1
22,all,49,1
23,all,40,1
24,all,84,1
25,bbob,17,2
26,all,77,1
27,all,20,1
28,bbob,17,5
29,all,22,1
30,all,75,1
31,all,99,1
32,all,2,1
33,all,35,1
34,all,103,1
35,bbob,23,2
36,all,114,1
37,all,15,1
38,bbob,23,5
39,all,37,1
40,all,48,1
41,bbob,14,2
42,all,39,1
43,bbob,19,4
44,bbob,19,1
45,bbob,22,3
46,all,107,1
47,bbob,18,5
48,all,96,1
49,all,43,1
50,bbob,21,4
