,suite,fid,iid
0,bbob,17,2
1,bbob,17,5
2,bbob,19,5
3,bbob,18,3
4,bbob,21,2
5,all,99,1
6,bbob,23,2
7,bbob,23,5
8,all,22,1
9,all,90,1
10,all,2,1
11,all,37,1
12,all,48,1
13,all,35,1
14,all,24,1
15,all,103,1
16,all,39,1
17,all,61,1
18,all,15,1
19,all,40,1
20,bbob,3,2
21,bbob,14,2
22,bbob,22,3
23,all,114,1
24,bbob,17,1
25,bbob,19,4
26,all,105,1
27,all,92,1
28,all,116,1
29,all,59,1
30,bbob,18,5
31,bbob,19,1
32,all,96,1
33,all,19,1
34,all,87,1
35,bbob,1,4
36,all,43,1
37,all,100,1
38,all,45,1
39,all,14,1
40,all,3,1
41,all,49,1
42,all,25,1
43,bbob,1,3
44,all,104,1
45,all,80,1
46,all,47,1
47,all,84,1
48,all,95,1
49,all,75,1
50,all,77,1
