,suite,fid,iid
0,all,20,1
1,all,31,1
2,all,53,1
3,all,99,1
4,bbob,10,3
5,bbob,21,3
6,bbob,1,3
7,bbob,17,2
8,bbob,17,5
9,all,22,1
10,all,77,1
11,all,110,1
12,all,2,1
13,all,103,1
14,all,68,1
15,all,35,1
16,all,114,1
17,all,90,1
18,all,37,1
19,bbob,19,2
20,all,15,1
21,bbob,23,2
22,all,6,1
23,all,39,1
24,bbob,23,5
25,all,94,1
26,bbob,17,1
27,all,43,1
28,all,87,1
29,all,45,1
30,bbob,14,2
31,bbob,22,3
32,bbob,19,1
33,all,1,1
34,all,34,1
35,bbob,21,4
36,all,100,1
37,bbob,18,5
38,bbob,1,4
39,bbob,19,4
40,all,14,1
41,all,47,1
42,bbob,23,1
43,all,80,1
44,all,16,1
45,all,38,1
46,all,49,1
47,all,104,1
48,all,29,1
49,all,84,1
