,suite,fid,iid
0,all,5,1
1,all,27,1
2,all,117,1
3,all,84,1
4,all,38,1
5,bbob,2,3
6,bbob,16,5
7,bbob,19,4
8,bbob,19,1
9,bbob,18,5
10,bbob,1,4
11,all,49,1
12,all,18,1
13,all,40,1
14,bbob,21,4
15,all,79,1
16,all,22,1
17,bbob,14,4
18,bbob,14,1
19,all,77,1
20,all,99,1
21,bbob,14,2
22,all,104,1
23,all,35,1
24,all,68,1
25,all,24,1
26,all,90,1
27,all,103,1
28,all,15,1
29,all,37,1
30,bbob,1,3
31,all,48,1
32,all,114,1
33,all,17,1
34,all,39,1
35,all,45,1
36,bbob,17,2
37,bbob,17,5
38,all,43,1
39,all,1,1
40,all,34,1
41,bbob,23,2
42,bbob,23,5
43,all,87,1
44,all,102,1
45,all,14,1
46,all,47,1
47,all,80,1
48,bbob,22,3
